BASS,SASQ,Shade,EmergVegDensity,EmergWMDensity,Depth5,Depth10,Depth15,Substrate5,Substrate10,Substrate15,Vel5,Vel10,Vel15
0,0,A,A,A,3.2,5.1,8.4,M/R,M/R,M/R,0.03,0.08,0.05
0,0,A,A,A,3.8,6.8,9,M/R,M/R,M/R,0.23,0.32,0.62
1,0,A,A,A,3.1,6.8,10.5,R,M/R,M/R,0.05,0.48,0.5
1,0,A,A,A,2.9,5.6,7.5,R,M/R,M/R,0.26,0.3,0.47
0,0,A,A,A,3.8,6.9,8.2,M/R,M/R,R,0.21,0.28,0.55
0,0,A,A,A,2.7,4.8,8.7,M/R,M/R,M/R,0.12,0.32,0.53
0,0,A,A,A,3,5.4,8.2,M/R,M/R,M/R,0.42,0.53,0.65
1,0,A,A,A,3.5,5.7,9.3,M/R,M/R,M/R,0.38,0.53,0.66
0,0,A,A,A,3.3,5.7,8.1,M/R,R,R,0.34,0.39,0.4
1,0,A,A,M,0.6,1.1,4.3,M,M,M,0.07,0.03,0.38
0,0,A,A,M,0.7,1.6,4.1,M,M,M,0.14,0.17,0.41
0,0,A,A,S,0.4,0.9,2.1,M,M/V,M/V,0.04,0.14,0.21
0,0,A,A,S,0.4,1,4.4,M,M/V,M,0.01,0.01,0.12
1,0,A,A,M,0.4,1.4,4.9,M,M/V,M/V,0.08,0.03,0.02
0,0,A,A,D,0.7,1.5,5.1,M,M/V,M,0.04,0.01,0.05
0,0,A,A,A,0.5,1.5,5.4,M,M/V,M,0.05,0.04,0.14
1,0,A,A,M,0.4,0.9,8.8,M,M/V,M,0.03,0.05,0.06
1,0,A,A,D,0.6,3.2,8.1,M,M,M,0.03,0.02,0.18
0,0,A,A,S,0.3,1.1,4.7,M,M,M,0,0.02,0.04
0,0,A,A,M,0.5,2.1,8.4,M,M,M,0.03,0.03,0.12
0,0,A,A,M,0.7,3.3,7.7,M,M,M,0,0.04,0.11
0,0,A,A,M,0.4,0.9,2.7,M,M/V,M/V,0,0.11,0.2
0,0,A,A,A,0.4,1.1,1.6,M,M/V,M/V,0.24,0.45,0.41
0,0,A,A,A,2.6,4.7,7.2,R,R,R,0.32,0.53,0.64
0,0,A,A,S,2.4,3.8,5.1,M/R,R,M/R,0.32,0.37,0.49
0,0,A,A,S,1.4,2.9,5.2,M/V,M,M,0,0.05,0.13
0,0,A,A,S,0.9,1.9,4.4,M/V,M/V,M,0,0.07,0.24
0,0,A,A,A,1.5,4,5.4,M/R,M/R,M/R,0.16,0.31,0.55
0,0,A,A,A,1.5,3.9,5.8,M/V,M,M/R,0.14,0.19,0.51
0,0,A,A,A,3.1,4.1,6.2,M/R,M/R,R,0.37,0.45,0.58
0,0,A,A,A,2,3.7,5.6,R,M/R,M/R,0.35,0.34,0.57
0,0,A,A,A,2.3,4.5,5.2,M/R,M/R,M/R,0.29,0.44,0.48
0,0,A,A,A,3.4,6.1,8.1,R,M/R,R,0.45,0.4,0.62
0,0,A,A,S,3.3,5.6,8.8,M/R,M,M/R,0.23,0.22,0.54
0,0,A,A,A,1.4,3.8,6.1,M/R,M/V,M,0.05,0.28,0.49
0,0,A,A,S,1.6,3.8,6.5,M/V,M,M,0.16,0.26,0.49
0,0,A,A,S,0.8,2.5,4.9,M/V,M,M,0.07,0.33,0.53
