SiteName,Type,Category,Date,Event,Species,FL_mm,TL_mm,SI,Race,Mort,Effort,Turb,Comments
90.8R,Naturalized,Naturalized,1/31/2014,2,RBT,249,258,5,NA,N,155,9.68,Hatchery
90.8L,Unmitigated,Unmitigated,1/31/2014,2,MSS,NA,NA,NA,NA,N,142,9.68,NA
90.8L,Unmitigated,Unmitigated,1/31/2014,2,SASU,76,80,NA,NA,N,142,9.68,NA
90.8L,Unmitigated,Unmitigated,1/31/2014,2,SASU,77,82,NA,NA,N,142,9.68,NA
90.8L,Unmitigated,Unmitigated,1/31/2014,2,SASU,93,98,NA,NA,N,142,9.68,NA
90.8L,Unmitigated,Unmitigated,1/31/2014,2,TP,71,76,NA,NA,N,142,9.68,NA
87.0L,Slope,Mitigated,1/31/2014,2,CHN,122,136,5,W,N,132,9.33,NA
87.0L,Slope,Mitigated,1/31/2014,2,CHN,122,138,5,W,N,132,9.33,NA
87.0L,Slope,Mitigated,1/31/2014,2,LMB,299,315,NA,NA,N,132,9.33,NA
87.0L,Slope,Mitigated,1/31/2014,2,RES,144,154,NA,NA,N,132,9.33,NA
87.0L,Slope,Mitigated,1/31/2014,2,SASU,465,497,NA,NA,N,132,9.33,NA
87.0L,Slope,Mitigated,1/31/2014,2,W,118,124,NA,NA,N,132,9.33,NA
85.6R,NoBench,Mitigated,1/31/2014,2,C,90,93,NA,NA,N,154,10.35,NA
85.6R,NoBench,Mitigated,1/31/2014,2,C,240,227,NA,NA,N,154,10.35,NA
85.6R,NoBench,Mitigated,1/31/2014,2,GSF,105,109,NA,NA,N,154,10.35,NA
85.6R,NoBench,Mitigated,1/31/2014,2,LMB,88,93,NA,NA,N,154,10.35,NA
85.6R,NoBench,Mitigated,1/31/2014,2,LMB,90,97,NA,NA,Y,154,10.35,NA
85.6R,NoBench,Mitigated,1/31/2014,2,LMB,90,94,NA,NA,N,154,10.35,NA
85.6R,NoBench,Mitigated,1/31/2014,2,LMB,100,105,NA,NA,N,154,10.35,NA
85.6R,NoBench,Mitigated,1/31/2014,2,LMB,109,114,NA,NA,N,154,10.35,NA
85.6R,NoBench,Mitigated,1/31/2014,2,LMB,345,362,NA,NA,N,154,10.35,NA
85.6R,NoBench,Mitigated,1/31/2014,2,RES,53,56,NA,NA,N,154,10.35,NA
85.6R,NoBench,Mitigated,1/31/2014,2,SPTB,65,70,NA,NA,N,154,10.35,NA
